"FUNCION","DIMENSIONES","RADIO","VECINOS","TLISTA TABU","MAX F.O.","MIN F.O.","PROMEDIO F.O."
"Ackley","50","0.2","10","150","21.6660","21.3796","21.5091"
"Ackley","50","0.2","20","50","21.5872","21.2565","21.4421"
"Ackley","50","0.2","20","100","21.6635","21.2588","21.4536"
"Ackley","50","0.2","20","150","21.7753","21.2539","21.4600"
"Ackley","50","0.6","10","50","21.4254","21.2602","21.3460"
"Ackley","50","0.6","10","100","21.4181","21.1622","21.3276"
"Ackley","50","0.6","10","150","21.4194","21.1320","21.3269"
"Ackley","50","0.6","20","50","21.4188","21.1877","21.3427"
"Ackley","50","0.6","20","100","21.4098","21.2510","21.3474"
"Ackley","50","0.6","20","150","21.4102","21.2064","21.3312"
"Ackley","50","1.0","10","50","21.3748","21.1259","21.2804"
"Ackley","50","1.0","10","100","21.3645","21.2037","21.3081"
"Ackley","50","1.0","10","150","21.3636","21.1731","21.2992"
"Ackley","50","1.0","20","50","21.3717","21.1896","21.3105"
"Ackley","50","1.0","20","100","21.3814","21.2457","21.3102"
"Ackley","50","1.0","20","150","21.3653","21.1212","21.2890"
"Ackley","100","0.2","10","50","21.4666","21.3203","21.4037"
"Ackley","100","0.2","10","100","21.4587","21.2508","21.3964"
"Ackley","100","0.2","10","150","21.4480","21.3083","21.4030"
"Ackley","100","0.2","20","50","21.4439","21.2814","21.3928"
"Ackley","100","0.2","20","100","21.4426","21.3157","21.3856"
"Ackley","100","0.2","20","150","21.4388","21.3435","21.3900"
"Ackley","100","0.6","10","50","21.5252","21.3804","21.4523"
"Ackley","100","0.6","10","100","21.5037","21.4009","21.4643"
"Ackley","100","0.6","10","150","21.5010","21.3776","21.4535"
"Ackley","100","0.6","20","50","21.4940","21.3630","21.4554"
"Ackley","100","0.6","20","100","21.5013","21.3997","21.4606"
"Ackley","100","0.6","20","150","21.5104","21.3776","21.4653"
"Ackley","100","1.0","10","50","21.4928","21.3695","21.4333"
"Ackley","100","1.0","10","100","21.4822","21.3094","21.4357"
"Ackley","100","1.0","10","150","21.4861","21.3747","21.4369"
"Ackley","100","1.0","20","50","21.4785","21.3290","21.4299"
"Ackley","100","1.0","20","100","21.5083","21.3725","21.4381"
"Ackley","100","1.0","20","150","21.4729","21.3379","21.4352"
